,date,open,high,low,close,volume
11059,2017-03-06,14.1403,14.1887,13.9708,14.0919,632416
11060,2017-03-07,14.0919,14.2372,13.995,14.0435,781927
11061,2017-03-08,14.0919,14.1887,13.9224,13.995,656984
11062,2017-03-09,13.9466,14.1161,13.8982,13.8982,490401
11063,2017-03-10,13.9466,14.2372,13.8498,14.1887,1225899
11064,2017-03-13,14.1403,14.334,14.0193,14.0919,624826
11065,2017-03-14,13.995,14.2372,13.995,14.0919,396564
11066,2017-03-15,14.1887,14.334,14.0677,14.2856,501252
11067,2017-03-16,14.334,14.334,14.0193,14.1887,444094
11068,2017-03-17,14.1887,14.3824,14.0919,14.2372,1678218
11069,2017-03-20,14.2372,14.2856,13.995,14.0435,493085
11070,2017-03-21,14.0919,14.1887,13.7045,13.8013,1095556
11071,2017-03-22,13.8013,13.9949,13.6561,13.8013,753207
11072,2017-03-23,13.8013,13.995,13.7045,13.8498,718417
11073,2017-03-24,13.8982,13.995,13.8013,13.8013,521524
11074,2017-03-27,13.7045,13.8498,13.6561,13.8013,374616
11075,2017-03-28,13.7045,14.0435,13.7045,13.9466,424505
11076,2017-03-29,13.9466,14.0435,13.8982,13.995,407238
11077,2017-03-30,13.9466,14.2372,13.9466,14.0919,608019
11078,2017-03-31,14.1403,14.1887,13.8498,13.9466,880474
11079,2017-04-03,13.9373,13.9859,13.7188,13.7917,882719
11080,2017-04-04,13.6945,14.1802,13.6791,14.1802,847418
11081,2017-04-05,14.1802,14.2287,13.8888,13.9859,955519
11082,2017-04-06,13.9859,14.1073,13.8402,14.083,603580
11083,2017-04-07,14.0345,14.083,13.8888,14.0345,605442
11084,2017-04-10,14.0345,14.1316,13.7917,14.0345,524329
11085,2017-04-11,13.9373,14.2287,13.8402,14.1802,700949
11086,2017-04-12,14.1802,14.2773,13.9373,14.083,597289
11087,2017-04-13,14.0345,14.083,13.7431,13.8402,562063
11088,2017-04-17,13.8888,14.0587,13.7917,14.0345,545594
11089,2017-04-18,13.9373,14.1316,13.8645,14.083,913687
11090,2017-04-19,14.1316,14.3016,14.083,14.1802,756481
11091,2017-04-20,14.2773,14.5201,14.1316,14.3744,788817
11092,2017-04-21,14.3258,14.4715,14.1802,14.2773,549224
11093,2017-04-24,14.4715,14.5201,14.2773,14.423,458331
11094,2017-04-25,14.5201,14.6658,14.3016,14.3744,642096
11095,2017-04-26,14.3744,14.6415,14.3258,14.423,819005
11096,2017-04-27,14.4715,14.4715,14.083,14.2287,662668
11097,2017-04-28,14.2287,14.2773,13.7917,14.0345,937986
11098,2017-05-01,14.0345,14.1316,13.8645,14.0345,649783
11099,2017-05-02,14.0345,14.1316,13.8159,13.8888,571483
11100,2017-05-03,14.5201,15.7341,14.5201,15.637,3855953
11101,2017-05-04,15.7341,16.3654,15.637,16.2683,3518879
11102,2017-05-05,16.3169,16.6083,16.1226,16.4626,3041460
11103,2017-05-08,16.3654,16.6083,16.2926,16.5111,1853759
